HOSPITALS,,,,,,,,,,
SN,Name Of Facility,Ownership,Star Level,SN,Name Of Facility,,Ownership,,,
1,MBAGALA RANGI TATU L,LGA,1,4,,,PRIVATE,,,1
2,KILWA ROAD POLICE,POLICE,2,5,VIJIBWENI,,LGA,,,2
3,DAR GROUP (TOHS),PRIVATE,2,,,,,,,
HEALTH CENTRES,,,,,,,,,,
SN,Name Of Facility,Ownership,Star Level,SN,Name Of Facility,Ownership,,,,
1,KIGAMBONI,LGA,3,8,EMMA,PRIVATE,,2,,
2,SUNA,PRIVATE,2,9,ARAFA UPENDO,PRIVITE,,2,,
3,AGA KHAN,PRIVATE,1,10,ARAFA UGWENO,PRIVATE,,1,,
4,AHUENI (ST. RAPHAEL),PRIVATE,1,11,NAVY KIGAMBONI,MILLITARY,,1,,
5,BANDARI,PARASTATAL,1,12,SAMARIA MISSION,FBO,,0,,
6,JKT MGULANI,MILITARY,1,13,TMJ DIAGNOSTIC CENTRE,PRIVATE,,3,,
7,MBAGALA ROUND TABLE,LGA,2,,,,,,,
DISPENSARIES,,,,,,,,,,
SN,Name Of Facility,Ownership,Star Level,SN,Name Of Facility,Ownership,,,Star Level,
,KIBADA,LGA,2,55,YALEYALE PUNA,LGA,,,1,
,NUNGE,LGA,1,56,MBUTU,LGA,,,1,
,MJI MWEMA,LGA,1,57,GOMVU,LGA,,,1,
,EFATHA,FBO,1,58,MICO KUSANDE,PRIVATE,,,0,
,SANITAS,PRIVATE,1,59,KIMBIJI,LGA,,,1,
,KIBUGUMO,LGA,0,60,GEZA ULOLE,LGA,,,2,
,CONSOLATA SISTERS,FBO,2,61,BUYUNI,LGA,,,1,
,KICHEMCHEM,LGA,1,62,TIEGSAMI,PRIVATE,,,0,
,MBAGALA KUU,LGA,0,63,KANISA LA MUNGU,PRIVATE,,,1,
,YOMBO VITUKA,LGA,2,64,DUCE,PARASTATAL,,,1,
,MAJI MATITU,LGA,2,65,TUANGOMA,LGA,,,2,
,CHAMAZI,LGA,1,66,KEKO MWANGA,LGA,,,0,
,MBANDE,LGA,2,67,GE,PRIVATE,,,1,
,FLORENCE MISSION,FBO,1,68,AAR,PRIVATE,,,1,
,BUZA,LGA,1,69,ST. FRANCIS XAVIERY,FBO,,,2,
,BLESS,PRIVATE,1,70,MAMBOLEO NURAIFO,PRIVATE,,,1,
,ARAFA MAPINDUZI,PRIVATE,1,71,KMS,PRIVATE,,,1,
,ARAFA ANABA,FBO,0,72,ARAFA AZIMIO,PRIVATE,,,1,
,SIGARA,LGA,1,73,MZINGA,LGA,,,2,
,ARAFA MACHIMBO,PRIVATE,0,74,MAIBONG SUKIDA,PRIVATE,,,1,
,MISSION MBAGALA,FBO,2,75,CADA,FBO,,,0,
,MBAGALA KIZUIANI,LGA,2,76,MWALIMU NYERERE,LGA,,,0,
,YOMBO KILAKALA,LGA,0,77,KESHENI,PRIVATE,,,1,
,ARAFA MBAGALA KUU,FBO,1,78,UPENDO TAIFO,PRIVATE,,,1,
,CMT (KIJICHI),PRIVATE,1,79,MTONI,LGA,,,2,
,ST. CLARA,FBO,1,80,TYMA SUNRISE,PRIVATE,,,1,
,KINGUGI,LGA,2,81,CHANG_OMBE,LGA,,,1,
,CIGNAT,PRIVATE,2,82,HEKIMA,PRIVATE,,,1,
,MICO KIBURUGWA,PRIVATE,1,83,TUMAINI MISSION,PRIVATE,,,2,
,ARAFA KICHEMCHEM,FBO,1,84,SONJA MISSION,FBO,,,1,
,ARAFA RANGITATU,FBO,1,85,ANSA,PRIVATE,,,1,
,HAFFORD,PRIVATE,1,86,ARAFA KILAKALA,FBO,,,0,
,TYMA FORDEVA,PRIVATE,1,87,BAKWATA YOMBO DRAJANI,PRIVATE,,,0,
,MARIA MARIE STOPPES,PRIVATE,1,88,KEKO PRISON,PRISON,,,1,
,MKIZA DISP,PRIVATE,2,89,MICO MTONI,PRIVATE,,,0,
,NEW HOPE,PRIVATE,1,90,WASHFARI,PRIVATE,,,1,
,POLICE MTONI KIJICHI,POLICE,1,91,TYMA KEKO MACHUNGWA,PRIVATE,,,0,
,KSIJ (KHOJASHIA),PRIVATE,1,92,TCC CHANGOMBE,PARASTATAL,,,1,
,ARAFA UMOJA,FBO,1,93,MGULANI TAU JWTZ,MILLITARY,,,1,
,TAMBUKA RELI,LGA,1,94,TYMA SABRINA,PRIVATE,,,1,
,TUMAINI JIPYA,PRIVATE,1,95,MICO KASOROBO,PRIVATE,,,1,
,HURUMA,PRIVATE,1,96,MAKANGARAWE,LGA,,,1,
,MICO NIIMAT,PRIVATE,1,97,KKT MTONI,FBO,,,1,
,MWEMBE MNOFU,FBO,1,98,AGAKHAN TANDIKA,PRIVATE,,,1,
,TYMA CARE,PRIVATE,0,99,MIKO AMANI,FBO,,,1,
,TUNDWI SONGANI,LGA,1,100,TYMA BUBU,FBO,,,1,
,ARAFA RELINI,PRIVATE,1,101,TYMA NYANGAO,PRIVATE,,,1,
,CHEKENI MWASONGA,LGA,1,102,MSOMENI,PRIVATE,,,1,
,MIKWAMBE,LGA,1,103,ALEXIA,PRIVATE,,,2,
,ARAFA KISIWANI,PRIVATE,1,104,ARAFA FERRY,PRIVATE,,,1,
,MWONGOZO,LGA,1,105,TYMA SANDALI,PRIVATE,,,1,
,KIUTA PUGU ROAD,PRIVATE,0,106,MKAMBA,LGA,,,0,
,SALAMAAN,PRIVATE,2,107,KISARAWE II,LGA,,,2,
,SDA TEMEKE,FBO,2,,,,,,,